,Brand,Model,Accel,TopSpeed,Range,Efficiency,FastCharge,PowerTrain,PlugType,BodyStyle,Segment,Seats,PriceEuro
0,Tesla ,Model 3 Long Range Dual Motor,4.6,233.0,450.0,161.0,940.0,All Wheel Drive,Type 2 CCS,Sedan,D,5,55480
1,Volkswagen ,ID.3 Pure,10.0,160.0,270.0,167.0,250.0,Rear Wheel Drive,Type 2 CCS,Hatchback,C,5,30000
2,Polestar ,2,4.7,210.0,400.0,181.0,620.0,All Wheel Drive,Type 2 CCS,Liftback,D,5,56440
3,BMW ,iX3 ,6.8,180.0,360.0,206.0,560.0,Rear Wheel Drive,Type 2 CCS,SUV,D,5,68040
4,Honda ,e ,9.5,145.0,170.0,168.0,190.0,Rear Wheel Drive,Type 2 CCS,Hatchback,B,4,32997
5,Lucid ,Air ,2.8,250.0,610.0,180.0,620.0,All Wheel Drive,Type 2 CCS,Sedan,F,5,105000
6,Volkswagen ,e-Golf ,9.6,150.0,190.0,168.0,220.0,Front Wheel Drive,Type 2 CCS,Hatchback,C,5,31900
7,Peugeot ,e-208 ,8.1,150.0,275.0,164.0,420.0,Front Wheel Drive,Type 2 CCS,Hatchback,B,5,29682
8,Tesla ,Model 3 Standard Range Plus,5.6,225.0,310.0,153.0,650.0,Rear Wheel Drive,Type 2 CCS,Sedan,D,5,46380
9,Audi ,Q4 e-tron ,6.3,180.0,400.0,193.0,540.0,All Wheel Drive,Type 2 CCS,SUV,D,5,55000
10,Mercedes ,EQC 400 4MATIC,5.1,180.0,370.0,216.0,440.0,All Wheel Drive,Type 2 CCS,SUV,D,5,69484
11,Nissan ,Leaf ,7.9,144.0,220.0,164.0,230.0,Front Wheel Drive,Type 2 CHAdeMO,Hatchback,C,5,29234
12,Hyundai ,Kona Electric 64 kWh,7.9,167.0,400.0,160.0,380.0,Front Wheel Drive,Type 2 CCS,SUV,B,5,40795
13,BMW ,i4 ,4.0,200.0,450.0,178.0,650.0,Rear Wheel Drive,Type 2 CCS,Sedan,D,5,65000
14,Hyundai ,IONIQ Electric,9.7,165.0,250.0,153.0,210.0,Front Wheel Drive,Type 2 CCS,Liftback,C,5,34459
15,Volkswagen ,ID.3 Pro S,7.9,160.0,440.0,175.0,590.0,Rear Wheel Drive,Type 2 CCS,Hatchback,C,4,40936
16,Porsche ,Taycan Turbo S,2.8,260.0,375.0,223.0,780.0,All Wheel Drive,Type 2 CCS,Sedan,F,4,180781
17,Volkswagen ,e-Up! ,11.9,130.0,195.0,166.0,170.0,Front Wheel Drive,Type 2 CCS,Hatchback,A,4,21421
18,MG ,ZS EV,8.2,140.0,220.0,193.0,260.0,Front Wheel Drive,Type 2 CCS,SUV,B,5,30000
19,Mini ,Cooper SE ,7.3,150.0,185.0,156.0,260.0,Front Wheel Drive,Type 2 CCS,Hatchback,B,4,31681
20,Opel ,Corsa-e ,8.1,150.0,275.0,164.0,420.0,Front Wheel Drive,Type 2 CCS,Hatchback,B,5,29146
21,Tesla ,Model Y Long Range Dual Motor,5.1,217.0,425.0,171.0,930.0,All Wheel Drive,Type 2 CCS,SUV,D,7,58620
22,Skoda ,Enyaq iV 50,10.0,160.0,290.0,179.0,230.0,Rear Wheel Drive,Type 2 CCS,SUV,C,5,35000
23,Audi ,e-tron GT ,3.5,240.0,425.0,197.0,850.0,All Wheel Drive,Type 2 CCS,Sedan,F,4,125000
24,Tesla ,Model 3 Long Range Performance,3.4,261.0,435.0,167.0,910.0,All Wheel Drive,Type 2 CCS,Sedan,D,5,61480
25,Volkswagen ,ID.4 ,7.5,160.0,420.0,183.0,560.0,Rear Wheel Drive,Type 2 CCS,SUV,C,5,45000
26,Volkswagen ,ID.3 Pro,9.0,160.0,350.0,166.0,490.0,Rear Wheel Drive,Type 2 CCS,Hatchback,C,5,33000
27,Volvo ,XC40 P8 AWD Recharge,4.9,180.0,375.0,200.0,470.0,All Wheel Drive,Type 2 CCS,SUV,C,5,60437
28,BMW ,i3 120 Ah,7.3,150.0,235.0,161.0,270.0,Rear Wheel Drive,Type 2 CCS,Hatchback,B,4,38017
29,Peugeot ,e-2008 SUV ,8.5,150.0,250.0,180.0,380.0,Front Wheel Drive,Type 2 CCS,SUV,B,5,34361
30,Audi ,e-tron 50 quattro,6.8,190.0,280.0,231.0,450.0,All Wheel Drive,Type 2 CCS,SUV,E,5,67358
31,Kia ,e-Niro 64 kWh,7.8,167.0,370.0,173.0,350.0,Front Wheel Drive,Type 2 CCS,SUV,C,5,38105
32,Renault ,Zoe ZE50 R110,11.4,135.0,315.0,165.0,230.0,Front Wheel Drive,Type 2 CCS,Hatchback,B,5,31184
33,Tesla ,Cybertruck Tri Motor,3.0,210.0,750.0,267.0,710.0,All Wheel Drive,Type 2 CCS,Pickup,N,6,75000
34,Mazda ,MX-30 ,9.0,150.0,180.0,178.0,240.0,Front Wheel Drive,Type 2 CCS,SUV,C,5,32646
35,Nissan ,Leaf e+,7.3,157.0,325.0,172.0,390.0,Front Wheel Drive,Type 2 CHAdeMO,Hatchback,C,5,37237
36,Lexus ,UX 300e,7.5,160.0,270.0,193.0,190.0,Front Wheel Drive,Type 2 CHAdeMO,SUV,C,5,50000
37,CUPRA ,el-Born ,6.5,160.0,425.0,181.0,570.0,Rear Wheel Drive,Type 2 CCS,Hatchback,C,4,45000
38,Renault ,Zoe ZE50 R135,9.5,140.0,310.0,168.0,230.0,Front Wheel Drive,Type 2 CCS,Hatchback,B,5,33133
